routeName,poolName,poolType,itemCount,quarantinedCount,reviewOnlyCount,inactiveEvidenceCount,productionCount,normalAutoGradedFalseCount,knownProblemRowCount,passFail,notes
Imported module b1_m17,repair final queue,normal_auto_graded,11,0,0,0,0,0,0,PASS,
Imported module b1_m17,transformation,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m17,transformation final queue,normal_auto_graded,0,0,0,0,0,0,0,PASS,
Imported module b1_m17,production,production_only,7,0,0,0,7,7,0,PASS,
Imported module b1_m17,production final queue,production_only,7,0,0,0,7,7,0,PASS,
Repair / Transformation,mixed,normal_auto_graded,62,0,0,0,0,0,0,PASS,
Repair / Transformation,mixed final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Repair / Transformation,repair,normal_auto_graded,54,0,0,0,0,0,0,PASS,
Repair / Transformation,repair final queue,normal_auto_graded,12,0,0,0,0,0,0,PASS,
Repair / Transformation,transformation,normal_auto_graded,8,0,0,0,0,0,0,PASS,
Repair / Transformation,transformation final queue,normal_auto_graded,8,0,0,0,0,0,0,PASS,
Diagnostic Sprint,diagnostic queue,diagnostic_snapshot,18,0,0,0,1,0,0,PASS,diagnostic snapshot may include production-readiness items; not a normal auto-graded pool
Case Trainer,legacy case trainer,legacy_non_b1,0,0,0,0,0,0,0,PASS,not backed by B1 reconciliation rows
